         26329217 function calls (26046623 primitive calls) in 18.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      234    0.000    0.000    0.001    0.000 axis.py:1043(_translate_tick_params)
       52    0.000    0.000    0.001    0.000 core.py:708(__len__)
       86    0.000    0.000    0.001    0.000 inspect.py:1959(_signature_bound_method)
       52    0.000    0.000    0.001    0.000 api_util.py:239(argnums_partial)
       21    0.000    0.000    0.001    0.000 linalg.py:1032(_triangular_solve_lowering)
     9041    0.001    0.000    0.001    0.000 backend_bases.py:187(close_group)
       54    0.000    0.000    0.001    0.000 _stablehlo_ops_gen.py:4206(return_)
      172    0.000    0.000    0.001    0.000 collections.py:677(_bcast_lwls)
      710    0.001    0.000    0.001    0.000 collections.py:860(_set_mappable_flags)
     5518    0.001    0.000    0.001    0.000 backend_bases.py:1012(set_snap)
       57    0.001    0.000    0.001    0.000 _stablehlo_ops_gen.py:4931(__init__)
       62    0.001    0.000    0.001    0.000 _stablehlo_ops_gen.py:5247(__init__)
        9    0.000    0.000    0.001    0.000 solves.py:305(_custom_linear_solve_impl)
     3089    0.001    0.000    0.001    0.000 array_methods.py:134(<genexpr>)
     5266    0.001    0.000    0.001    0.000 multiarray.py:153(concatenate)
     3012    0.001    0.000    0.001    0.000 lax_numpy.py:5044(<genexpr>)
       86    0.000    0.000    0.001    0.000 cm.py:714(_ensure_cmap)
      158    0.000    0.000    0.001    0.000 lax.py:2703(_bit_width)
     5710    0.001    0.000    0.001    0.000 lax_numpy.py:4966(<genexpr>)
       51    0.001    0.000    0.001    0.000 pyOpt_optimization.py:1559(_mapObjGradtoOpt)
       48    0.000    0.000    0.001    0.000 _stablehlo_ops_gen.py:3786(__init__)
      258    0.000    0.000    0.001    0.000 __init__.py:389(<genexpr>)
      342    0.000    0.000    0.001    0.000 core.py:644(get_masked_subclass)
        8    0.000    0.000    0.001    0.000 patches.py:1083(__init__)
      234    0.000    0.000    0.001    0.000 pxla.py:2446(<listcomp>)
       13    0.001    0.000    0.001    0.000 twodim_base.py:158(eye)
        7    0.000    0.000    0.001    0.000 _param_validation.py:26(validate_parameter_constraints)
      312    0.000    0.000    0.001    0.000 lax_numpy.py:5083(clamp_index)
     3060    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
      936    0.001    0.000    0.001    0.000 enum.py:783(__hash__)
     3313    0.000    0.000    0.001    0.000 partial_eval.py:1912(vars_in_shape)
       53    0.000    0.000    0.001    0.000 pyOpt_utils.py:459(_denseToCOO)
      456    0.001    0.000    0.001    0.000 inspect.py:2810(kwargs)
     1002    0.001    0.000    0.001    0.000 slicing.py:1436(_is_sorted)
     7134    0.001    0.000    0.001    0.000 backend_bases.py:807(restore)
      108    0.000    0.000    0.001    0.000 sharding_impls.py:1126(prepare_axis_resources)
       18    0.000    0.000    0.001    0.000 colorbar.py:947(set_label)
     2652    0.000    0.000    0.001    0.000 partial_eval.py:2625(_substitute_vars_in_type)
     7134    0.001    0.000    0.001    0.000 backend_bases.py:886(get_snap)
      238    0.000    0.000    0.001    0.000 patches.py:314(_set_edgecolor)
      538    0.000    0.000    0.001    0.000 lax.py:184(_extract_tracers_dyn_shape)
     2992    0.001    0.000    0.001    0.000 core.py:3433(shape)
      925    0.001    0.000    0.001    0.000 core.py:951(__eq__)
        8    0.000    0.000    0.001    0.000 sre_compile.py:622(_code)
      210    0.000    0.000    0.001    0.000 _dtype.py:330(_name_includes_bit_suffix)
     7965    0.001    0.000    0.001    0.000 text.py:1347(get_parse_math)
      183    0.000    0.000    0.001    0.000 function_base.py:564(asarray_chkfinite)
      342    0.000    0.000    0.001    0.000 core.py:2144(canonicalize_dim)
     1530    0.000    0.000    0.001    0.000 transforms.py:1872(inverted)
     1834    0.001    0.000    0.001    0.000 partial_eval.py:1781(add_eqn)
      101    0.001    0.000    0.001    0.000 func.py:85(name)
     1596    0.001    0.000    0.001    0.000 core.py:940(__init__)
     1431    0.001    0.000    0.001    0.000 slicing.py:272(from_any)
      150    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     2563    0.001    0.000    0.001    0.000 core.py:249(<listcomp>)
      360    0.000    0.000    0.001    0.000 sharding_impls.py:417(__hash__)
      300    0.001    0.000    0.001    0.000 func.py:110(arg_attrs)
      258    0.000    0.000    0.001    0.000 __init__.py:102(<genexpr>)
     1686    0.000    0.000    0.001    0.000 lines.py:550(set_markevery)
     2508    0.001    0.000    0.001    0.000 mlir.py:1709(<listcomp>)
       18    0.000    0.000    0.001    0.000 colorbar.py:803(update_ticks)
      728    0.000    0.000    0.001    0.000 collections.py:789(get_edgecolor)
        3    0.000    0.000    0.001    0.000 slicing.py:2515(_scatter_add_lower_gpu)
      144    0.000    0.000    0.001    0.000 _base.py:3569(_validate_converted_limits)
     7134    0.001    0.000    0.001    0.000 backend_bases.py:1027(get_hatch)
      107    0.000    0.000    0.001    0.000 inspect.py:301(isgeneratorfunction)
       18    0.000    0.000    0.001    0.000 _base.py:3685(set_ylabel)
     5482    0.001    0.000    0.001    0.000 artist.py:664(get_sketch_params)
      728    0.001    0.000    0.001    0.000 text.py:298(set_rotation_mode)
      176    0.000    0.000    0.001    0.000 cbook.py:110(_weak_or_strong_ref)
     1368    0.000    0.000    0.001    0.000 linear_util.py:116(__init__)
       18    0.000    0.000    0.001    0.000 _special_matrices.py:489(block_diag)
     1892    0.001    0.000    0.001    0.000 _ufunc_config.py:426(__init__)
      238    0.000    0.000    0.001    0.000 patches.py:381(set_linewidth)
        7    0.000    0.000    0.001    0.000 lax.py:3899(_reduce_sum_transpose_rule)
       88    0.000    0.000    0.001    0.000 partial_eval.py:1512(_prune_closed_jaxpr_outputs)
      999    0.000    0.000    0.001    0.000 lax.py:1284(<listcomp>)
      670    0.001    0.000    0.001    0.000 lax.py:3248(<listcomp>)
       72    0.000    0.000    0.001    0.000 axis.py:1827(set_major_formatter)
       23    0.000    0.000    0.001    0.000 least_squares.py:130(check_x_scale)
      472    0.000    0.000    0.001    0.000 partial_eval.py:1930(<listcomp>)
     1938    0.001    0.000    0.001    0.000 _base.py:322(<genexpr>)
      506    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.001    0.000 reductions.py:293(_reduce_any)
     2574    0.001    0.000    0.001    0.000 __init__.py:259(__iter__)
     2006    0.001    0.000    0.001    0.000 _base.py:866(<dictcomp>)
      632    0.000    0.000    0.001    0.000 patches.py:263(get_data_transform)
     1106    0.000    0.000    0.001    0.000 _binary.py:101(o32be)
        1    0.000    0.000    0.001    0.001 main_helper.py:16(create_agent_list)
        9    0.000    0.000    0.001    0.000 linalg.py:1150(_lu_pivots_to_permutation_gpu_lowering)
     1570    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      349    0.000    0.000    0.001    0.000 linalg.py:159(_commonType)
        9    0.000    0.000    0.001    0.000 linalg.py:2481(_nan_like_hlo)
       44    0.000    0.000    0.001    0.000 partial_eval.py:1643(_move_binders_to_front)
      273    0.000    0.000    0.001    0.000 transforms.py:362(size)
      183    0.000    0.000    0.001    0.000 common.py:325(evaluate_quadratic)
     1585    0.000    0.000    0.001    0.000 lax_numpy.py:4930(_eliminate_deprecated_list_indexing)
       81    0.000    0.000    0.001    0.000 lax.py:1696(_unbroadcast)
     6600    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       59    0.000    0.000    0.001    0.000 pyOpt_optimization.py:1573(_mapObjtoOpt)
        3    0.000    0.000    0.001    0.000 agent.py:9(__init__)
     2508    0.001    0.000    0.001    0.000 mlir.py:1556(get_override_lowering_rule)
        9    0.000    0.000    0.001    0.000 re.py:187(match)
     1195    0.000    0.000    0.001    0.000 mlir.py:1917(<genexpr>)
      642    0.001    0.000    0.001    0.000 func.py:73(body)
       13    0.000    0.000    0.001    0.000 lax.py:2291(<lambda>)
      468    0.001    0.000    0.001    0.000 function_base.py:2314(<listcomp>)
       40    0.000    0.000    0.001    0.000 stride_tricks.py:340(_broadcast_to)
        7    0.000    0.000    0.001    0.000 base.py:178(get_params)
        9    0.000    0.000    0.001    0.000 gpu_linalg.py:51(_lu_pivots_to_permutation_hlo)
      420    0.000    0.000    0.001    0.000 lax.py:3266(<listcomp>)
       90    0.000    0.000    0.001    0.000 axis.py:1909(set_minor_locator)
       18    0.000    0.000    0.001    0.000 stride_tricks.py:546(<listcomp>)
     1434    0.000    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 xla_bridge.py:141(tpu_client_timer_callback)
      304    0.000    0.000    0.001    0.000 sharding_impls.py:422(__eq__)
      154    0.000    0.000    0.001    0.000 function_base.py:5562(append)
     1594    0.001    0.000    0.001    0.000 util.py:348(__eq__)
      243    0.001    0.000    0.001    0.000 weakref.py:428(__setitem__)
        8    0.000    0.000    0.001    0.000 path.py:928(arc)
      300    0.000    0.000    0.001    0.000 mlir.py:1243(<listcomp>)
      323    0.000    0.000    0.001    0.000 linalg.py:924(_triangular_solve_shape_rule)
      880    0.000    0.000    0.001    0.000 core.py:476(write)
     1404    0.001    0.000    0.001    0.000 {method 'update' of '_hashlib.HASH' objects}
    18/16    0.000    0.000    0.001    0.000 copy.py:201(_deepcopy_list)
       79    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
     7134    0.001    0.000    0.001    0.000 backend_bases.py:1038(get_hatch_color)
      752    0.000    0.000    0.001    0.000 core.py:3346(<dictcomp>)
     2050    0.000    0.000    0.001    0.000 pxla.py:1839(<genexpr>)
      135    0.000    0.000    0.001    0.000 pathlib.py:845(joinpath)
     2826    0.001    0.000    0.001    0.000 {built-in method time.time}
      238    0.000    0.000    0.001    0.000 axis.py:207(_apply_tickdir)
      270    0.000    0.000    0.001    0.000 __init__.py:866(normalize)
      138    0.000    0.000    0.001    0.000 partial_eval.py:150(lift)
     1271    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       11    0.000    0.000    0.001    0.000 lax.py:2279(<lambda>)
      107    0.000    0.000    0.001    0.000 inspect.py:290(_has_code_flag)
     1463    0.000    0.000    0.001    0.000 arraysetops.py:125(_unpack_tuple)
      390    0.000    0.000    0.001    0.000 transforms.py:132(__getstate__)
      714    0.000    0.000    0.001    0.000 font_manager.py:1107(_expand_aliases)
      805    0.001    0.000    0.001    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.001    0.000 slicing.py:1269(_dynamic_slice_staging_rule)
       44    0.000    0.000    0.001    0.000 arrayprint.py:410(<lambda>)
        7    0.000    0.000    0.001    0.000 base.py:147(_get_param_names)
      234    0.001    0.000    0.001    0.000 pxla.py:1159(__init__)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       81    0.000    0.000    0.001    0.000 lax.py:2664(_dot_general_shape_computation)
      136    0.000    0.000    0.001    0.000 pathlib.py:615(_make_child)
        1    0.000    0.000    0.001    0.001 lax.py:4249(_sort_lower)
        1    0.000    0.000    0.001    0.001 glob.py:13(glob)
     7134    0.001    0.000    0.001    0.000 backend_bases.py:1046(get_hatch_linewidth)
      357    0.000    0.000    0.001    0.000 pathlib.py:621(__str__)
       19    0.000    0.000    0.001    0.000 lax.py:1068(_get_monoid_reducer)
     1336    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.001    0.001 solves.py:173(transposed_fun)
      205    0.000    0.000    0.001    0.000 mlir.py:114(i64_attr)
      422    0.001    0.000    0.001    0.000 {method 'repeat' of 'numpy.ndarray' objects}
      140    0.000    0.000    0.001    0.000 colors.py:1222(__init__)
        4    0.000    0.000    0.001    0.000 lax.py:2056(<lambda>)
       61    0.000    0.000    0.001    0.000 markers.py:785(_set_tickdown)
      818    0.000    0.000    0.001    0.000 partial_eval.py:2781(write)
     1271    0.001    0.000    0.001    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.001    0.001 api.py:2284(transposed_fun)
        3    0.000    0.000    0.001    0.000 lax.py:1037(_reduction_jaxpr)
    62/31    0.000    0.000    0.001    0.000 glob.py:53(_iglob)
      234    0.000    0.000    0.001    0.000 cache_key.py:87(<lambda>)
      472    0.000    0.000    0.001    0.000 partial_eval.py:1919(<setcomp>)
       18    0.000    0.000    0.001    0.000 axis.py:1799(set_label_text)
     7134    0.001    0.000    0.001    0.000 backend_bases.py:1050(get_sketch_params)
      760    0.000    0.000    0.001    0.000 collections.py:216(get_offset_transform)
     5580    0.001    0.000    0.001    0.000 core.py:94(constvars)
       13    0.000    0.000    0.001    0.000 util.py:363(moveaxis)
     2020    0.000    0.000    0.001    0.000 lax.py:3238(<genexpr>)
     4018    0.001    0.000    0.001    0.000 fromnumeric.py:2416(_all_dispatcher)
       32    0.000    0.000    0.001    0.000 path.py:489(transformed)
       32    0.000    0.000    0.000    0.000 _axes.py:4354(_parse_scatter_color_args)
      130    0.000    0.000    0.000    0.000 patches.py:396(set_linestyle)
      468    0.000    0.000    0.000    0.000 cache_key.py:285(_hash_string)
       44    0.000    0.000    0.000    0.000 arrayprint.py:1223(__init__)
      490    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      653    0.000    0.000    0.000    0.000 shape_base.py:215(_vhstack_dispatcher)
      138    0.000    0.000    0.000    0.000 multipleEmitterOnlineLocationAndPowerEstimator.py:204(measurement_jacobian)
       70    0.000    0.000    0.000    0.000 common.py:302(minimize_quadratic_1d)
      780    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.generic' objects}
     1999    0.000    0.000    0.000    0.000 {built-in method math.prod}
      949    0.000    0.000    0.000    0.000 core.py:948(__hash__)
     2180    0.000    0.000    0.000    0.000 util.py:346(<genexpr>)
      688    0.000    0.000    0.000    0.000 lax.py:2998(<listcomp>)
        1    0.000    0.000    0.000    0.000 solves.py:311(_tangent_linear_map)
       54    0.000    0.000    0.000    0.000 _stablehlo_ops_gen.py:4191(__init__)
       72    0.000    0.000    0.000    0.000 core.py:285(_extremum_fill_value)
       27    0.000    0.000    0.000    0.000 _stablehlo_ops_gen.py:4665(select)
        9    0.000    0.000    0.000    0.000 lax.py:381(sqrt)
      479    0.000    0.000    0.000    0.000 os.py:755(encode)
      234    0.000    0.000    0.000    0.000 mlir.py:940(<listcomp>)
     2628    0.000    0.000    0.000    0.000 {built-in method math.isfinite}
     55/8    0.000    0.000    0.000    0.000 sre_compile.py:87(_compile)
        2    0.000    0.000    0.000    0.000 {built-in method pyoptsparse.pyIPOPT.pyipoptcore.create}
     3234    0.000    0.000    0.000    0.000 enum.py:796(name)
      944    0.000    0.000    0.000    0.000 partial_eval.py:2380(extend_jaxpr_stack)
     4894    0.000    0.000    0.000    0.000 inspect.py:2691(default)
      397    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
       48    0.000    0.000    0.000    0.000 ad.py:301(lift)
     3471    0.000    0.000    0.000    0.000 backend_bases.py:930(set_clip_rectangle)
        6    0.000    0.000    0.000    0.000 patches.py:1889(__init__)
      330    0.000    0.000    0.000    0.000 arrayprint.py:1018(__call__)
      337    0.000    0.000    0.000    0.000 core.py:380(__init__)
     3160    0.000    0.000    0.000    0.000 patches.py:2130(<genexpr>)
       86    0.000    0.000    0.000    0.000 collections.py:591(set_linestyle)
      238    0.000    0.000    0.000    0.000 axis.py:195(_set_labelrotation)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      234    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
     3582    0.000    0.000    0.000    0.000 markers.py:279(get_fillstyle)
      300    0.000    0.000    0.000    0.000 mlir.py:1381(<listcomp>)
       44    0.000    0.000    0.000    0.000 _stablehlo_ops_gen.py:3067(__init__)
       54    0.000    0.000    0.000    0.000 figure.py:126(__init__)
     2984    0.000    0.000    0.000    0.000 cbook.py:1633(<lambda>)
      897    0.000    0.000    0.000    0.000 dispatch.py:295(_eqn_replicas)
     2412    0.000    0.000    0.000    0.000 lines.py:1455(is_dashed)
       88    0.000    0.000    0.000    0.000 partial_eval.py:1496(_prune_jaxpr_outputs)
       86    0.000    0.000    0.000    0.000 collections.py:725(set_antialiased)
     2184    0.000    0.000    0.000    0.000 arraysetops.py:630(<genexpr>)
        9    0.000    0.000    0.000    0.000 linalg.py:1364(<lambda>)
      234    0.000    0.000    0.000    0.000 xla_bridge.py:993(device_count)
        4    0.000    0.000    0.000    0.000 slicing.py:1644(_gather_batching_rule)
      234    0.000    0.000    0.000    0.000 compilation_cache.py:137(_get_cache)
      220    0.000    0.000    0.000    0.000 patches.py:453(set_capstyle)
      104    0.000    0.000    0.000    0.000 extras.py:290(<listcomp>)
      390    0.000    0.000    0.000    0.000 transforms.py:137(__setstate__)
      229    0.000    0.000    0.000    0.000 numeric.py:203(ones_like)
     3643    0.000    0.000    0.000    0.000 transforms.py:2119(get_matrix)
        5    0.000    0.000    0.000    0.000 lax.py:481(ne)
       65    0.000    0.000    0.000    0.000 lax.py:3896(_reduce_sum_shape_rule)
        9    0.000    0.000    0.000    0.000 linalg.py:219(lu_pivots_to_permutation)
        7    0.000    0.000    0.000    0.000 slicing.py:1314(_dynamic_slice_lower)
      135    0.000    0.000    0.000    0.000 _functools.py:89(pass_none)
      234    0.000    0.000    0.000    0.000 pxla.py:1624(check_if_any_auto)
     3829    0.000    0.000    0.000    0.000 core.py:1504(<lambda>)
       18    0.000    0.000    0.000    0.000 lax.py:3716(_select_hlo_lowering)
     2508    0.000    0.000    0.000    0.000 core.py:416(__repr__)
      293    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
      794    0.000    0.000    0.000    0.000 util.py:431(<genexpr>)
      658    0.000    0.000    0.000    0.000 arrayprint.py:739(_extendLine)
      234    0.000    0.000    0.000    0.000 compilation_cache.py:51(set_once_cache_used)
     6298    0.000    0.000    0.000    0.000 transforms.py:1367(depth)
      289    0.000    0.000    0.000    0.000 api_util.py:683(<listcomp>)
       37    0.000    0.000    0.000    0.000 transforms.py:1573(get_matrix)
       11    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        2    0.000    0.000    0.000    0.000 linalg.py:416(_matvec_multiply)
     1494    0.000    0.000    0.000    0.000 partial_eval.py:2016(<listcomp>)
        9    0.000    0.000    0.000    0.000 array_methods.py:95(_transpose)
      472    0.000    0.000    0.000    0.000 partial_eval.py:1872(<listcomp>)
     4766    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        2    0.000    0.000    0.000    0.000 lax.py:703(dot)
      981    0.000    0.000    0.000    0.000 {built-in method jaxlib.mlir._mlir_libs._stablehlo.get_api_version}
      151    0.000    0.000    0.000    0.000 enum.py:764(__format__)
       18    0.000    0.000    0.000    0.000 figure.py:935(delaxes)
      774    0.000    0.000    0.000    0.000 core.py:3234(_scalar_heuristic)
     1121    0.000    0.000    0.000    0.000 lax.py:3416(<genexpr>)
       21    0.000    0.000    0.000    0.000 _stablehlo_ops_gen.py:5359(triangular_solve)
        4    0.000    0.000    0.000    0.000 lax.py:2241(_sub_transpose)
      234    0.000    0.000    0.000    0.000 cache_key.py:100(<lambda>)
       36    0.000    0.000    0.000    0.000 gridspec.py:698(subgridspec)
       36    0.000    0.000    0.000    0.000 _base.py:222(__init__)
     3016    0.000    0.000    0.000    0.000 patches.py:767(rotation_point)
      158    0.000    0.000    0.000    0.000 figure.py:2611(set_layout_engine)
     2222    0.000    0.000    0.000    0.000 font_manager.py:844(set_file)
      334    0.000    0.000    0.000    0.000 partial_eval.py:2793(<listcomp>)
        1    0.000    0.000    0.000    0.000 loops.py:2369(cumred_gpu_impl)
      136    0.000    0.000    0.000    0.000 cm.py:84(__getitem__)
     2907    0.000    0.000    0.000    0.000 _base.py:459(<genexpr>)
      570    0.000    0.000    0.000    0.000 pjit.py:247(<listcomp>)
     3241    0.000    0.000    0.000    0.000 multiarray.py:1080(copyto)
     2742    0.000    0.000    0.000    0.000 effects.py:101(<listcomp>)
     1628    0.000    0.000    0.000    0.000 axis.py:1755(have_units)
      564    0.000    0.000    0.000    0.000 angleUnwrapper.py:9(add_angle)
        1    0.000    0.000    0.000    0.000 loops.py:2356(cumred_reduce_window_impl)
      535    0.000    0.000    0.000    0.000 array_methods.py:117(<listcomp>)
        8    0.000    0.000    0.000    0.000 lax.py:2278(<lambda>)
       18    0.000    0.000    0.000    0.000 collections.py:1497(set_color)
      938    0.000    0.000    0.000    0.000 partial_eval.py:2615(_substitute_tracers_in_aval)
      612    0.000    0.000    0.000    0.000 linear_util.py:123(store)
        7    0.000    0.000    0.000    0.000 mlir.py:1978(dynamic_slice)
        1    0.000    0.000    0.000    0.000 windowed_reductions.py:130(_reduce_window_prod)
      182    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       36    0.000    0.000    0.000    0.000 cbook.py:229(_connect_picklable)
      108    0.000    0.000    0.000    0.000 transforms.py:2452(__init__)
       54    0.000    0.000    0.000    0.000 transforms.py:1715(frozen)
      176    0.000    0.000    0.000    0.000 weakref.py:47(__new__)
      234    0.000    0.000    0.000    0.000 pxla.py:3011(__init__)
      108    0.000    0.000    0.000    0.000 api_util.py:189(_validate_argnames)
       52    0.000    0.000    0.000    0.000 ad_util.py:44(add_abstract)
      272    0.000    0.000    0.000    0.000 core.py:3526(mask)
       36    0.000    0.000    0.000    0.000 _base.py:226(set_prop_cycle)
     2020    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      271    0.000    0.000    0.000    0.000 re.py:202(sub)
     2550    0.000    0.000    0.000    0.000 fromnumeric.py:2317(_any_dispatcher)
     2121    0.000    0.000    0.000    0.000 sharding_impls.py:883(memory_kind)
     1616    0.000    0.000    0.000    0.000 backend_agg.py:246(get_canvas_width_height)
      765    0.000    0.000    0.000    0.000 ticker.py:1737(__call__)
       90    0.000    0.000    0.000    0.000 colors.py:1259(vmin)
     1616    0.000    0.000    0.000    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
      456    0.000    0.000    0.000    0.000 custom_derivatives.py:408(<listcomp>)
       18    0.000    0.000    0.000    0.000 figure.py:941(_remove_axes)
       79    0.000    0.000    0.000    0.000 Image.py:395(_getencoder)
     1103    0.000    0.000    0.000    0.000 partial_eval.py:1588(_default_dce_rule)
      291    0.000    0.000    0.000    0.000 api_util.py:86(flatten_fun_nokwargs)
        1    0.000    0.000    0.000    0.000 backend_agg.py:64(__init__)
      111    0.000    0.000    0.000    0.000 arrayprint.py:64(_make_options_dict)
      138    0.000    0.000    0.000    0.000 multipleEmitterOnlineLocationAndPowerEstimator.py:200(measurement_model)
     3002    0.000    0.000    0.000    0.000 stride_tricks.py:476(_broadcast_arrays_dispatcher)
      128    0.000    0.000    0.000    0.000 linalg.py:215(_assert_finite)
       65    0.000    0.000    0.000    0.000 lax.py:3931(_reduce_op_shape_rule)
       44    0.000    0.000    0.000    0.000 partial_eval.py:1128(<listcomp>)
       86    0.000    0.000    0.000    0.000 inspect.py:3014(replace)
     1260    0.000    0.000    0.000    0.000 core.py:1982(is_symbolic_dim)
     1521    0.000    0.000    0.000    0.000 api_util.py:279(<genexpr>)
       53    0.000    0.000    0.000    0.000 core.py:1433(lattice_join)
     1041    0.000    0.000    0.000    0.000 core.py:360(gensym)
     1954    0.000    0.000    0.000    0.000 lax.py:2423(_convert_element_type_shape_rule)
      469    0.000    0.000    0.000    0.000 lax_numpy.py:2290(_normalize_to_sharding)
       54    0.000    0.000    0.000    0.000 axis.py:1853(set_minor_formatter)
        2    0.000    0.000    0.000    0.000 lax.py:2755(_dot_general_batch_rule)
        1    0.000    0.000    0.000    0.000 __init__.py:124(EntryPoint)
       18    0.000    0.000    0.000    0.000 colorbar.py:135(set_xy)
       36    0.000    0.000    0.000    0.000 core.py:299(minimum_fill_value)
     3287    0.000    0.000    0.000    0.000 shape_base.py:19(_atleast_1d_dispatcher)
      757    0.000    0.000    0.000    0.000 monitoring.py:56(record_event_duration_secs)
      176    0.000    0.000    0.000    0.000 transforms.py:955(x0)
      663    0.000    0.000    0.000    0.000 core.py:970(next_level)
      632    0.000    0.000    0.000    0.000 lax_numpy.py:2508(<genexpr>)
      216    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
       36    0.000    0.000    0.000    0.000 _base.py:1761(set_box_aspect)
       65    0.000    0.000    0.000    0.000 lax.py:3890(_reduce_number_dtype_rule)
     2256    0.000    0.000    0.000    0.000 slicing.py:1092(<genexpr>)
      663    0.000    0.000    0.000    0.000 core.py:976(pop)
     1140    0.000    0.000    0.000    0.000 core.py:473(read)
      495    0.000    0.000    0.000    0.000 lax.py:1649(<genexpr>)
      105    0.000    0.000    0.000    0.000 tree_util.py:549(__new__)
       36    0.000    0.000    0.000    0.000 gridspec.py:481(__init__)
        6    0.000    0.000    0.000    0.000 lax.py:497(lt)
      460    0.000    0.000    0.000    0.000 core.py:3516(mask)
     2508    0.000    0.000    0.000    0.000 mlir.py:1090(<genexpr>)
      468    0.000    0.000    0.000    0.000 lax_numpy.py:1853(<genexpr>)
      304    0.000    0.000    0.000    0.000 fromnumeric.py:1768(ravel)
      172    0.000    0.000    0.000    0.000 collections.py:710(<listcomp>)
     2155    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
     2601    0.000    0.000    0.000    0.000 axis.py:541(locator)
      689    0.000    0.000    0.000    0.000 pxla.py:2896(<genexpr>)
      234    0.000    0.000    0.000    0.000 cache_key.py:101(<lambda>)
        5    0.000    0.000    0.000    0.000 lax.py:3381(_pad_lower)
      107    0.000    0.000    0.000    0.000 source_info_util.py:116(transform)
      151    0.000    0.000    0.000    0.000 text.py:1147(set_fontweight)
      300    0.000    0.000    0.000    0.000 func.py:127(result_attrs)
     1642    0.000    0.000    0.000    0.000 api_util.py:315(<dictcomp>)
     2253    0.000    0.000    0.000    0.000 axis.py:552(formatter)
      360    0.000    0.000    0.000    0.000 array.py:390(is_fully_addressable)
     2743    0.000    0.000    0.000    0.000 artist.py:597(get_url)
       61    0.000    0.000    0.000    0.000 markers.py:779(_set_tickup)
       70    0.000    0.000    0.000    0.000 common.py:251(build_quadratic_1d)
      468    0.000    0.000    0.000    0.000 effects.py:103(filter_not_in)
      236    0.000    0.000    0.000    0.000 copy.py:211(<listcomp>)
        2    0.000    0.000    0.000    0.000 _qmc.py:1275(__init__)
      481    0.000    0.000    0.000    0.000 pjit.py:1325(<genexpr>)
       27    0.000    0.000    0.000    0.000 _stablehlo_ops_gen.py:4637(__init__)
      228    0.000    0.000    0.000    0.000 array.py:350(__iter__)
      316    0.000    0.000    0.000    0.000 _base.py:72(wrapper)
      129    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
      156    0.000    0.000    0.000    0.000 lax_numpy.py:81(canonicalize_shape)
        7    0.000    0.000    0.000    0.000 lax.py:302(exp)
       79    0.000    0.000    0.000    0.000 backend_bases.py:1269(_process)
       22    0.000    0.000    0.000    0.000 _stablehlo_ops_gen.py:5085(sqrt)
        2    0.000    0.000    0.000    0.000 _qmc.py:739(__init__)
       84    0.000    0.000    0.000    0.000 _param_validation.py:72(<listcomp>)
     1116    0.000    0.000    0.000    0.000 transforms.py:1757(<lambda>)
     2726    0.000    0.000    0.000    0.000 {built-in method from_iterable}
      460    0.000    0.000    0.000    0.000 colors.py:204(_sanitize_extrema)
      300    0.000    0.000    0.000    0.000 mlir.py:1430(<listcomp>)
       53    0.000    0.000    0.000    0.000 pyOpt_utils.py:481(_csr_to_coo)
       53    0.000    0.000    0.000    0.000 core.py:1681(join)
     2069    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       68    0.000    0.000    0.000    0.000 transforms.py:799(null)
