         26329217 function calls (26046623 primitive calls) in 18.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5001    0.014    0.000    0.117    0.000 dtypes.py:668(_lattice_result_type)
      420    0.001    0.000    0.117    0.000 lax.py:3282(<listcomp>)
      313    0.002    0.000    0.116    0.000 lax_numpy.py:1083(where)
      177    0.001    0.000    0.116    0.001 axis.py:469(__init__)
      234    0.044    0.000    0.116    0.000 mlir.py:488(make_ir_context)
       69    0.004    0.000    0.116    0.002 pathPlanning.py:415(waypoint_position_constraint)
34089/31922    0.013    0.000    0.115    0.000 contextlib.py:130(__enter__)
   128375    0.066    0.000    0.115    0.000 {built-in method builtins.max}
     7542    0.008    0.000    0.114    0.000 api_util.py:576(_shaped_abstractify_slow)
6812/6542    0.003    0.000    0.112    0.000 artist.py:147(<lambda>)
5882/5877    0.012    0.000    0.112    0.000 partial_eval.py:1032(partial_eval_jaxpr_nounits)
   164070    0.071    0.000    0.111    0.000 core.py:2129(canonicalize_shape)
6812/6542    0.004    0.000    0.109    0.000 artist.py:1223(set)
     2984    0.027    0.000    0.108    0.000 lines.py:666(recache)
        4    0.000    0.000    0.107    0.027 xla_bridge.py:924(_init_backend)
202610/202154    0.033    0.000    0.105    0.000 {built-in method builtins.hasattr}
     2065    0.013    0.000    0.104    0.000 patches.py:530(_draw_paths_with_artist_properties)
        2    0.017    0.008    0.103    0.052 xla_bridge.py:412(make_gpu_client)
99016/98991    0.032    0.000    0.103    0.000 {built-in method builtins.all}
    41073    0.056    0.000    0.103    0.000 linalg.py:2383(norm)
    15193    0.004    0.000    0.101    0.000 dtypes.py:669(<genexpr>)
      632    0.003    0.000    0.100    0.000 patches.py:1984(draw)
    20467    0.015    0.000    0.100    0.000 partial_eval.py:935(newvar)
      819    0.001    0.000    0.098    0.000 axis.py:1493(get_majorticklocs)
     1492    0.001    0.000    0.098    0.000 lax.py:501(convert_element_type)
    10192    0.008    0.000    0.098    0.000 dtypes.py:475(_dtype_and_weaktype)
      969    0.001    0.000    0.097    0.000 _base.py:539(<listcomp>)
    38159    0.027    0.000    0.097    0.000 transforms.py:1889(__init__)
     1938    0.002    0.000    0.097    0.000 _base.py:532(<genexpr>)
      533    0.003    0.000    0.096    0.000 lax.py:1388(full_like)
      969    0.003    0.000    0.095    0.000 _base.py:342(_makeline)
       68    0.000    0.000    0.095    0.001 __init__.py:1462(inner)
      156    0.001    0.000    0.095    0.001 slicing.py:1625(_gather_transpose_rule)
     1873    0.002    0.000    0.093    0.000 ad.py:531(<listcomp>)
      688    0.006    0.000    0.092    0.000 lax.py:2994(_broadcast_in_dim_transpose_rule)
34089/31922    0.019    0.000    0.091    0.000 contextlib.py:139(__exit__)
     1027    0.004    0.000    0.089    0.000 lax.py:976(transpose)
5256/5252    0.016    0.000    0.089    0.000 ad.py:680(jvp_jaxpr)
    13385    0.009    0.000    0.088    0.000 core.py:1677(at_least_vspace)
        1    0.000    0.000    0.088    0.088 pathPlanning.py:352(find_agent_optimization_order)
     1119    0.003    0.000    0.088    0.000 slicing.py:286(gather)
        1    0.000    0.000    0.088    0.088 pathPlanning.py:345(find_most_uncertain_emitter)
     1585    0.005    0.000    0.087    0.000 lax_numpy.py:4676(_split_index_for_jit)
       97    0.024    0.000    0.087    0.001 util.py:213(toposort)
    43421    0.035    0.000    0.086    0.000 copy.py:66(copy)
     2508    0.005    0.000    0.085    0.000 mlir.py:403(_source_info_to_location)
     1332    0.005    0.000    0.085    0.000 artist.py:772(set_clip_path)
    67487    0.044    0.000    0.084    0.000 core.py:957(with_cur_sublevel)
     1820    0.003    0.000    0.084    0.000 lax.py:2452(_convert_element_type_jvp_rule)
      687    0.003    0.000    0.083    0.000 lax_numpy.py:541(transpose)
    30471    0.010    0.000    0.083    0.000 fromnumeric.py:3176(ndim)
      845    0.003    0.000    0.082    0.000 lax.py:1225(full)
      999    0.003    0.000    0.081    0.000 lax.py:1279(broadcasted_iota)
     7109    0.007    0.000    0.080    0.000 abstract_arrays.py:65(_make_concrete_python_scalar)
        1    0.000    0.000    0.079    0.079 probabilityOfDetectionMap.py:10(__init__)
        1    0.025    0.025    0.079    0.079 probabilityOfDetectionMap.py:319(ground_truth_probability_of_detection)
    75687    0.078    0.000    0.078    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1585    0.007    0.000    0.077    0.000 lax_numpy.py:4962(_expand_bool_indices)
    43160    0.052    0.000    0.077    0.000 font_manager.py:638(__hash__)
     9897    0.009    0.000    0.077    0.000 ad.py:206(read_cotangent)
     1785    0.002    0.000    0.077    0.000 partial_eval.py:2010(process_primitive)
    15342    0.006    0.000    0.077    0.000 font_manager.py:899(copy)
     1001    0.008    0.000    0.076    0.000 path.py:607(get_extents)
      319    0.000    0.000    0.076    0.000 lax_numpy.py:4755(<genexpr>)
     5314    0.008    0.000    0.074    0.000 transforms.py:1106(get_points)
     3453    0.001    0.000    0.074    0.000 transforms.py:239(__array__)
   108/72    0.000    0.000    0.074    0.001 axis.py:575(__get__)
    44/39    0.001    0.000    0.073    0.002 partial_eval.py:1095(_partial_eval_jaxpr_nounits)
      234    0.001    0.000    0.072    0.000 axis.py:944(set_tick_params)
    57967    0.024    0.000    0.071    0.000 transforms.py:1769(__init__)
      156    0.002    0.000    0.071    0.000 lax_numpy.py:1844(tile)
162161/132939    0.026    0.000    0.071    0.000 {built-in method builtins.hash}
    26133    0.009    0.000    0.071    0.000 core.py:346(__init__)
      313    0.001    0.000    0.070    0.000 lax_numpy.py:2251(zeros_like)
    16921    0.010    0.000    0.070    0.000 core.py:1771(primal_dtype_to_tangent_dtype)
   130819    0.033    0.000    0.070    0.000 __init__.py:741(__getitem__)
     1056    0.006    0.000    0.069    0.000 axis.py:2757(get_tick_space)
   150243    0.064    0.000    0.069    0.000 {built-in method numpy.array}
162242/127677    0.034    0.000    0.069    0.000 artist.py:317(stale)
     3390    0.003    0.000    0.069    0.000 artist.py:1229(_cm_set)
      294    0.001    0.000    0.068    0.000 core.py:924(process_custom_jvp_call)
      972    0.003    0.000    0.068    0.000 _base.py:2328(_update_line_limits)
    11764    0.017    0.000    0.068    0.000 partial_eval.py:1507(prune_closed_jaxpr_outputs)
     6832    0.003    0.000    0.066    0.000 inspect.py:3181(bind)
      156    0.001    0.000    0.066    0.000 slicing.py:383(scatter_add)
     1638    0.002    0.000    0.065    0.000 ticker.py:213(format_ticks)
    32000    0.023    0.000    0.065    0.000 fromnumeric.py:71(_wrapreduction)
   154421    0.047    0.000    0.065    0.000 core.py:1562(_dtype_object)
    44/39    0.000    0.000    0.064    0.002 partial_eval.py:1100(fun)
        2    0.064    0.032    0.064    0.032 xla_client.py:83(make_gpu_client)
   100/88    0.000    0.000    0.064    0.001 core.py:292(jaxpr_as_fun)
132074/131733    0.052    0.000    0.064    0.000 {built-in method numpy.asarray}
117988/114660    0.038    0.000    0.064    0.000 dtypes.py:625(is_weakly_typed)
      704    0.003    0.000    0.064    0.000 transforms.py:651(union)
   100/88    0.002    0.000    0.064    0.001 core.py:472(eval_jaxpr)
     1494    0.005    0.000    0.064    0.000 partial_eval.py:2015(default_process_primitive)
111313/109753    0.033    0.000    0.064    0.000 fromnumeric.py:1980(shape)
       54    0.000    0.000    0.063    0.001 _base.py:3157(grid)
25295/823    0.018    0.000    0.063    0.000 copy.py:128(deepcopy)
      108    0.000    0.000    0.063    0.001 axis.py:1658(grid)
      899    0.003    0.000    0.063    0.000 lax.py:787(broadcast)
     6832    0.044    0.000    0.063    0.000 inspect.py:3050(_bind)
     3388    0.005    0.000    0.062    0.000 ad.py:297(pure)
       18    0.001    0.000    0.061    0.003 colorbar.py:280(__init__)
    12632    0.005    0.000    0.061    0.000 dispatch.py:279(check_arg)
      635    0.002    0.000    0.061    0.000 lax.py:3092(_broadcast_in_dim_jvp_rule)
    38305    0.050    0.000    0.060    0.000 partial_eval.py:679(__init__)
     8336    0.008    0.000    0.059    0.000 transforms.py:813(from_extents)
     6143    0.010    0.000    0.059    0.000 core.py:784(__getattr__)
    52938    0.030    0.000    0.059    0.000 pjit.py:1815(keep_where)
       25    0.001    0.000    0.059    0.002 multipleEmitterOnlineLocationAndPowerEstimator.py:253(add_measurement)
      318    0.001    0.000    0.059    0.000 array_methods.py:746(prop)
     1569    0.006    0.000    0.059    0.000 patches.py:1557(_recompute_transform)
       36    0.001    0.000    0.059    0.002 _axes.py:6093(pcolormesh)
    35677    0.012    0.000    0.058    0.000 core.py:1970(<lambda>)
     2584    0.002    0.000    0.058    0.000 markers.py:225(__init__)
    14367    0.005    0.000    0.057    0.000 font_manager.py:649(__eq__)
     1508    0.006    0.000    0.057    0.000 patches.py:746(get_patch_transform)
     2508    0.023    0.000    0.057    0.000 mlir.py:362(_traceback_to_location)
    90467    0.056    0.000    0.056    0.000 transforms.py:113(__init__)
    10417    0.013    0.000    0.056    0.000 pjit.py:327(_pjit_explicit_sharding)
